fill_rate,avg_inventory,stockout_count,total_demand,demand_met,sku_id,method,rop,safety_stock
100.0,13510.172869678685,0,61638,61638.0,P0004,dynamic,9754.512868535954,1072.7012018692883
95.7010503763735,14552.39638562531,5,61072,58446.54548585883,P0020,dynamic,11222.309097171765,1171.1024305050976
100.0,16339.671756598804,0,63720,63720.0,P0007,dynamic,11119.642752115018,1487.675085448352
100.0,17179.323775578403,0,60969,60969.0,P0011,dynamic,12606.456391925125,1870.412614147348
92.75492701509977,13228.49355442827,6,60150,55792.08859958251,P0015,dynamic,10241.044299791254,1168.2478553468088
88.47649200996094,10126.223985429295,11,60057,53136.32680642224,P0017,dynamic,10627.265361284448,1473.1853612844475
92.85980035584741,10270.666849301773,9,63757,59204.62291287763,P0006,dynamic,10421.320832250753,1313.7685822507513
99.22245768037122,13436.262897532139,1,62357,61872.14793574908,P0010,dynamic,11625.829587149816,1981.6106982609278
100.0,17056.635981685395,0,63555,63555.0,P0008,dynamic,11397.43130674578,1532.2703067457826
80.90211426036619,8195.239548160629,18,57208,46282.48152607029,P0012,dynamic,9696.740763035143,1397.8363185906985
97.50494281669177,13038.22476812297,3,64595,62983.317812442045,P0002,dynamic,9441.895048068007,1164.2947147346713
